Item code,Description,Lead time (Days)
293,**INACTIVE**1/4 WHITE LATEX FOAM,42
294,VELCRO HOOK W/PSA 1.5 IN,42
295,VELCRO LOOP W/PSA 1.5 IN,42
296,**INACTIVE**VELCRO LOOP 3 IN,42
297,**INACTIVE**LOOP 7/8 CIR W/PSA,42
298,**INACTIVE**HOOK 7/8 CIR W/PSA,42
299,**INACTIVE**VELCRO CLR HOOK 2 IN,42
300,**INACTIVE**VELCRO HOOK W/PSA 2 IN,42
301,"""PURGE"" AUTOBAG 4.5 IN X 5.0 IN",35
302,"""PURGE"" AUTOBAG 6.5 IN X 7 IN",35
303,PENNCO LID W/FOAM,35
304,WHITE CTN NEONATE,35
305,SBS INSERTS NEONATE,35
306,**INACTIVE**POLYBAG LNR 24 X 24 6MIL,0
307,**INACTIVE**POLYBAG LNR 33 X 40 16MIL,0
308,**INACTIVE**POLYBAG LNR 40 X 48 13MIL,0
309,CHIPBD 13.437 X 9.5625 X .024,14
310,CHIPBD 9.375 X 7.375 X .024,14
311,**INACTIVE**SPOOLS 3 IN X 4.5 IN 12 IN PANELS,0
312,BOX 2WALL 11 3/4 X 10 5/8 X 6,7
313,**INACTIVE**8 OZ JARS UP,0
314,**INACTIVE**POUCH MPM REPEL 4 X 4,0
315,**INACTIVE**POUCH MPM REPEL 6 X 6,0
316,**INACTIVE**POUCH 3.5 X 7.5 LASIK,0
317,*PURGE*SBS NEONATE,35
318,**INACTIVE**SBS FLEXI ADLT,35
319,SBS FLEXI LA,35
320,**INACTIVE**SBS FLEXI PED,35
321,"**INACTIVE**AUTOBAG HYPERION 4 X 4, 4.25 X 5",14
322,"**INACTIVE**AUTOBAG HYPERION 6 X 6, 6.25 X 7",14
323,**INACTIVE**SBS BOX IFM ELECT TAPE,35
324,4 X 4 (2.5 X 2.5) SSL UP (SUB),7
325,6 X 6 (4.25 X 4) SSL UP,7
326,**INACTIVE**PET/PE & PET/PE POUCH 5 IN X 6.75 IN W/THUMB NOTCH,42
327,**INACTIVE**PET/PE & PET/PE POUCH 3.5 IN X 4.5 IN,42
328,**INACTIVE**PET/PE & PET/PE POUCH 7.5 IN X 9.5 IN,42
329,**INACTIVE**BOX 15 X 12 X 10,0
330,**INACTIVE**SPINAL LID STOCK 13.12 X 9.4375 LOGO,14
331,**INACTIVE**SPINAL LID STOCK 7.312 X 9.25 LOGO,14
332,**INACTIVE**TIDI GARMENT CLOSURE RL,14
333,**INACTIVE**SPINAL SPECIALTIES DEXTR DRAPE,0
334,**INACTIVE**BLANK,0
335,**INACTIVE**BLANK,0
336,**INACTIVE**GENTELL 6 X 6 SSL UP 100/BAG BULK,14
337,**INACTIVE**MPM 4 X 4 SSL UP 30/BAG 120/BOC,0
338,**INACTIVE**MUELLER 4 X 8 SPECIAL ABR STRIP,14
339,**INACTIVE**DERMARITE 6 X 6 SSL P,0
340,"MEDLINE MEDISTRIP  1/4 X 1.5 IN, STERILE",14
341,MEDLINE MEDISTRIP 1/8 X 3 IN STERILE,14
342,MEDLINE MEDISTRIP 1/2 X 4 IN STERILE,14
343,MEDLINE MEDISTRIP 1/4 X 4 IN STERILE,14
344,MEDLINE MEDISTRIP 1/4 X 3 IN STERILE,14
345,MPM EXCEL HYDCOLLD 2 X 2 MP00600,14
346,MPM EXCEL HYDCOLLD Wound Drsg 4.25 X 4 MP00602,14
347,MPM EXCEL HYDCOLLD 3.6 X 4 CASE,14
348,MPM Excel Hydrocolloid Wound Dressing 6 x 6.5 MP00608,14
349,**INACTIVE**ADVANCE MESH FILTER,14
350,**INACTIVE**DSCOPE LRG/ADLT 0683-00-0409-01,14
351,**INACTIVE**GENTELL 4 X 4 SSL P 100/BAG BULK,14
352,**INACTIVE**JERNIGAN 6 X 8,0
353,**INACTIVE**ORION 4X4(2.5 X 2.5) SSL UP,0
354,**INACTIVE**DERMARITE 4 X 4 (2.5 X 2.5) SSL P,0
355,**INACTIVE**CS MEDTRADE 6 X 6 SA FOAM,0
356,**INACTIVE***DERMA SCIENCE 12 X 12 HYDROGEL 1/POUCH,0
