Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,ItemCode,ItemDescription,Price,Cost,GP,Gp%,,,,,
,,1170,DERMA/MCKESS P/L 6X8 HYG SHT  STERILE MCK6182068,158.62,127.97253,30.64747,0.19321315092674315,,,,,
,,1173,GENESIS BIO CLEAR PATCH,0.15,0.106347,0.043653,0.29102,,,,,
,,1179,ANS WINDW MASKING TAPE  LARGE B2,0.42,0.025558,0.39444199999999996,0.939147619047619,,,,,
,,1239,"MPM Cool Magic Gel Sheet 8"" X12"" MP00209",7.44,5.466386,1.9736140000000004,0.2652706989247312,,,,,
,,1243,**INACTIVE**BARD VIGILON  13X24 HYGEL DRSG NS,9.2,0,9.2,1,,,,,
,,1246,PRTD POUCH TYVEK 5.62 IN MPM 4X4 ML DRSG (SUB),0.041,0.060668,-0.019667999999999998,-0.47970731707317066,,,,,
,,1256,AHS MONTGOMERY STRAPS,0.153,0.081872,0.071128,0.46488888888888885,,,,,
,,1261,**INACTIVE**MPM WOUNDGARD 2X2 DRSG STERILE,0.18,0.216766,-0.03676599999999999,-0.20425555555555552,,,,,
,,1262,**INACTIVE**2 X 2 (1.0 X 1.0) SSL UP,0.18,0.025959,0.15404099999999998,0.8557833333333332,,,,,
,,1271,MUELLER ADH KNIT SHEET 6X10 FLESH,0.436,0.321797,0.114203,0.26193348623853213,,,,,
,,1301,DERMA/MCKESSON 2.375 X 2.75 THIN FILM DRSG STERILE MCK6183023,78.28,62.96657,15.313430000000004,0.19562378640776704,,,,,
,,1302,DERMA/MCKESSON 4 X  4.75 THIN FILM DRSG STERILE MCK6183045,82.4,63.352564,19.047436000000005,0.2311582038834952,,,,,
,,1303,DERMA/MCKESSON 6 X 8 THIN FILM DRSG STERILE 61-83068,71.07,56.581268,14.488731999999992,0.2038656535809764,,,,,
,,1304,DERMA/MCKESSON 2.375  X  2.75 TAB DEL DRSG STERILE MCK6183123,288.4,119.963691,168.436309,0.5840371324549237,,,,,
,,1306,"ALPHAPROTECH 3M 9877 2 SIDE TAPE .5""  W/ .125"" EXT",11.07,8.9433,2.1266999999999996,0.19211382113821135,,,,,
,,1372,MEDLINE CVS 2.375 X 2.75 IN THIN FILM DRSG CVS310408,43.18,55.560313,-12.380313000000001,-0.28671405743399725,,,,,
,,1411,PHARMCHEM 2.375 X 2.75 PHARMCHEK DRSG STERILE,1.39,0.427451,0.9625489999999999,0.6924812949640288,,,,,
,,1435,LSL WOUND CLOS. STRPS 3 STRP/CD 1/2 IN X 4 IN BULK - 055,0.1084,0.122226,-0.013826000000000005,-0.12754612546125466,,,,,
,,1481,"MEDI-DYNE BRAND HGEL 1"" SQ IN JARS",9.32,8.588665,0.7313349999999996,0.07846942060085832,,,,,
