Unnamed: 0,Unnamed: 1,WHITEBOARD TARGETS vs ACTUALS,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,MFG REVENUE TARGETS vs ACTUALS by Equipment# and Part #,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,SHIPMENT Rev & Profit TARGET,Unnamed: 25,Unnamed: 26,Unnamed: 27,SHIPMENT REVENUE TARGETS vs ACTUALS by Part # and Lot #,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,"QUALITY PRODUCT RELEASES (PRE-STERILE, NON Sterile, STERILE)",Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43
,2026-03-25 00:00:00,Plan Revenue,,12960,6804,,,,,,,,,Preco,5341,53247,Non-Sterile,0,0,0,0,ISI EXTRA LARGE ALUMI-HAND 761,,,,,,,,,,,,,,,,,,,,,
,,Act Revenue,,0,0,,,,,,,,,,5342,52954,Non-Sterile,52560,51566.4,17821.6725,17484.769650000002,,,,,,,,,,,,,,,,,,,,,,
,2026-03-26 00:00:00,Plan Revenue,,12960,6804,,,,,,,,,Rewind 1,F-22007                 ,54535,Non-Sterile,8599.199999999999,8169.24,5724.502359999999,5438.277241999999,"ADVANCED 2"" × 200' ROLL SEMI-OCCLUSIVE",,,,,,,,,,,,,,,,,,,,,
,,Act Revenue,,0,0,,,,,,,,,,F-22008                 ,54536,Non-Sterile,4134.4,4031.04,1654.2248,1612.8691800000001,"ADVANCED 2"" × 200' ROLL OCCLUSIVE",,,,,,,,,,,,,,,,,,,,,
,2026-03-27 00:00:00,Plan Revenue,,12960,6318,,,,,,,,,Scout,4980,53759,Non-Sterile,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
,,Act Revenue,,0,0,,,,,,,,,,7543,54778,Non-Sterile,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
,2026-03-30 00:00:00,Plan Revenue,,10800,,,,,,,,,,,7544,54782,Non-Sterile,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
,,Act Revenue,,0,,,,,,,,,,Grand Total,,,,1059013.52,692993.7230000001,347027.8638219999,254200.90120000002,,,,,,,,,,,,,,,,,,,,,,
,2026-03-31 00:00:00,Plan Revenue,54450,10653.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Act Revenue,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total Plan Revenue,,228234,406456.62,251914.72999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total Act Revenue,,0,7156.8,40026.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
