PONumber,EntryDate,VendorCode,VendorName,ItemCode,ItemDescription,OrderQuantity,UOM,OriginalOrderQuantity,QtyRecv,DueDate,ReceivedDate,Comments
51920,2026-01-13,3SIGMA    ,3 Sigma,R-30252                 ,1 mil PET/REP4/40# Liner 5 IN,33600,LF  ,33600,0,2026-03-10,01/01/1900,
52039,2026-01-30,GMC       ,GMC COATING LTD,000226                  ,TIGHT REL 53# LNR 3 IN,125000,LF  ,125000,0,2026-03-10,01/01/1900,
52039,2026-01-30,GMC       ,GMC COATING LTD,000225                  ,TIGHT REL 53# LNR 2.5 IN,125000,LF  ,125000,0,2026-03-10,01/01/1900,
52039,2026-01-30,GMC       ,GMC COATING LTD,000227                  ,TIGHT REL 53# LNR 3.5 IN,125000,LF  ,125000,0,2026-03-10,01/01/1900,
52130,2026-02-10,DD Essent ,"D&D Essential Oils, LLC",007785                  ,Peppermint Oil CAS# 8006-90-4,1362,GM  ,1362,0,2026-03-10,01/01/1900,
52110,2026-02-06,Spec Chem ,Spectrum Chemical,007815                  ,Sodium Hexametaphosphate,3000,GM  ,3000,0,2026-03-11,01/01/1900,
52110,2026-02-06,Spec Chem ,Spectrum Chemical,005722                  ,D* Sodium Hydroxide CAS# 1310-73-2,12000,GM  ,12000,0,2026-03-11,01/01/1900,
51839,2025-12-30,ACTAVIS   ,Norgesplaster AS,007902                  ,ACTAVIS 4.25 IN SCANTAPE 65008APL,2624,LY  ,2624,0,2026-03-12,01/01/1900,
52157,2026-02-12,GMC       ,GMC COATING LTD,004559                  ,"53# TIGHT REL. LINER  9.0""",75000,LF  ,75000,0,2026-03-12,01/01/1900,
52169,2026-02-12,UNIVAR    ,Univar USA,006324                  ,"SODIUM BICARBONATE 89362 SOD BICARB USP 1, CAS# 144-55-8",113400,GM  ,113400,0,2026-03-12,01/01/1900,
52169,2026-02-12,UNIVAR    ,Univar USA,006328                  ,CARBOX WAX SENTRY POLYETHYLENE GLYCOL 600 NF CAS#25322-68-3,226800,GM  ,226800,0,2026-03-12,01/01/1900,
52169,2026-02-12,UNIVAR    ,Univar USA,007797                  ,Benzoic Acid CAS# 65-85-0,25000,GM  ,25000,0,2026-03-12,01/01/1900,
51749,2025-12-11,SUZHEMY   ,Suzhou Emy Medical Supplies Co LTD,007761                  ,"42"" 25GA FC7 FILM",680000,LF  ,680000,0,2026-03-13,01/01/1900,
52152,2026-02-12,COASTSW   ,Coast Southwest,007777                  ,Glycerin CAS# 56-81-5,250000,GM  ,250000,0,2026-03-13,01/01/1900,
52175,2026-02-13,Spec Chem ,Spectrum Chemical,007076                  ,BENZALKONIUM CHLORIDE CAS# 8001-54-5,2000,GM  ,2000,0,2026-03-13,01/01/1900,
52176,2026-02-13,UNIVAR    ,Univar USA,007230                  ,PEG 3350 CARBOWAX SENTRY WITH INHIBITOR,275000,GM  ,275000,0,2026-03-13,01/01/1900,
52202,2026-02-18,GARBO     ,MuseChem,007807                  ,Epigallocateechin Gallate CAS# 989-51-5,1000,GM  ,1000,0,2026-03-13,01/01/1900,
