SONumber,LineNumber,ItemCode,ItemDescription,CustomerCode,CustomerName,OrderQuantity,UnitPrice,ExtendedLineAmount,Order date,Requested Ship date,lead_time_days,mfg_start_date,earliest_ship_date,feasibility,days_margin,Profit,late_penalty,holding_cost,adjusted_profit,ship_month
65000,10,3132,MEDLINE CURAD NASAL TUBE HOLDER CURNASTUB50,MEDL      ,"Medline Industries, Inc.",20.0,5.5,110.0,2026-02-16,2026-05-11,14,2026-02-25,2026-03-11,ON_TIME,61.0,26.68056,0.0,6.1000000000000005,20.58056,2026-03
65002,10,3132,MEDLINE CURAD NASAL TUBE HOLDER CURNASTUB50,MEDL      ,"Medline Industries, Inc.",20.0,5.5,110.0,2026-02-16,2026-05-11,14,2026-02-25,2026-03-11,ON_TIME,61.0,26.68056,0.0,6.1000000000000005,20.58056,2026-03
64983,1,3423,"MPM Cool Magic Gel Sheet 3.75""x3.75"" OL MP00206",MPM       ,"MPM Medical, Inc.",24000.0,2.07,49680.0,2026-02-11,2026-05-11,14,2026-04-27,2026-05-11,ON_TIME,0.0,13616.375999999997,-0.0,0.0,13616.375999999997,2026-05
64682,1,3424,"MPM Cool Magic Gel Sheet 6.0""x8.0"" OL MP00208",MPM       ,"MPM Medical, Inc.",10000.0,6.3,63000.0,2025-10-14,,14,2026-02-25,2026-03-11,NO_DEADLINE,,14266.97,-0.0,0.0,14266.97,2026-03
64980,1,3424,"MPM Cool Magic Gel Sheet 6.0""x8.0"" OL MP00208",MPM       ,"MPM Medical, Inc.",10000.0,6.3,63000.0,2026-02-09,,14,2026-02-25,2026-03-11,NO_DEADLINE,,14266.97,-0.0,0.0,14266.97,2026-03
64926,1,3693,ARGENTUM 3x4 PRTD ISLAND DRSG BULK,ARGENTUM  ,"Argentum Medical, LLC",35000.0,0.62,21700.0,2026-01-22,2026-02-27,14,2026-02-25,2026-03-11,LATE,-12.0,14746.97,3539.2727999999997,0.0,11207.697199999999,2026-03
64792,1,3752,MPM 4 x 5 THIN FILM DRESSING STERILE MP00470,MPM       ,"MPM Medical, Inc.",400.0,149.15,59660.0,2025-12-04,,0,2026-02-25,2026-02-25,NO_DEADLINE,,13688.842,-0.0,0.0,13688.842,2026-02
64684,1,3843,DeRoyal Episeal Tan 3 Inch Non-Reinforced Material,DEROYAL   ,DeRoyal Accounts Payable Dept,28000.0,0.396,11088.0,2025-10-14,2026-01-12,0,2026-02-25,2026-02-25,LATE,-44.0,7710.752,6785.46176,0.0,925.2902400000003,2026-02
64680,3,3849,MEDISTRIP 1/4 IN X 1.5 IN BULK NON-STERILE,MEDL SLOV ,Medline Assembly Slovakia S.R.O,1.0,165.0,165.0,2025-10-14,,14,2026-02-25,2026-03-11,NO_DEADLINE,,4.008499999999998,-0.0,0.0,4.008499999999998,2026-03
64798,1,3849,MEDISTRIP 1/4 IN X 1.5 IN BULK NON-STERILE,MEDL SLOV ,Medline Assembly Slovakia S.R.O,2.0,165.0,330.0,2025-12-08,2026-02-18,14,2026-02-25,2026-03-11,LATE,-21.0,8.016999999999996,3.3671399999999982,0.0,4.649859999999998,2026-03
