ItemCode,(All),Unnamed: 2,Unnamed: 3,ScheduledShipDate,(All).1,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
,,,,,,9065728.639999999,,,,,,,,,,,,,,,,,,,,
Department,Total,,,,,,Data,,,,,,,,,,,,,,,,,,,
,,,,,7976,"4"" x 8"" Therabond 3D Island Dressing 3DAI-48",8050,8050,,,,,,,,,,,,,,,,,,
,,,,,7978,"4"" x 12"" Therabond 3D Island Dressing 3DAI-412",11169.9,8051.4,,,,,,,,,,,,,,,,,,
,,,,,7980,"4"" x 10"" Therabond 3D Island Dressing 3DAI-410",5400,5400,,,,,,,,,,,,,,,,,,
,,,,,7975,"4"" x 6"" Therabond 3D Island Dressing 3DAI-46",8005.8,8005.8,,,,,,,,,,,,,,,,,,
,,,,,7979,"4"" x 14"" Therabond 3D Island Dressing 3DAIXS-412",2200,2200,,,,,,,,,,,,,,,,,,
,,,,,7987,"4"" x 10"" Therabond 3D Island Dressing 3DAIXS-410",2700,2700,,,,,,,,,,,,,,,,,,
,,,,"DermaClip US, LLC",7217,DERMACLIP EXT 3 CLIP PAD NS -31005,2039.73,125.9112,,,,,,,,,,,,,,,,,,
,,,,OSARTIS GmbH,7983,Osteoremedies Branded 1.0oz BlastX 12 assembly Turnkey,279552,238151.424,,,,,,,,,,,,,,,,,,
,,,,,7984,"Osteoremedies Branded Gel 0.25 oz, 40 assembly Turnkey",47545,30970.1655,,,,,,,,,,,,,,,,,,
,,,,The Bloomi Inc,N-4001                  ,,3000,,,,,,,,,,,,,,,,,,,
,,,,,7991,Bloomi Delight 3oz,17250,17250,,,,,,,,,,,,,,,,,,
,,,,,8012,Bloomi Delight 3oz (1K Use Only),1000,999.26485,,,,,,,,,,,,,,,,,,
,,,,Turn Therapeutics,N-4001                  ,,11910,,,,,,,,,,,,,,,,,,,
,,,,,7997,Turn Therapeutics Hexagen Bulk - 55 Gallon Drum,15280,15280,,,,,,,,,,,,,,,,,,
,,,,"Clyra Medical Technologies, Inc.",7861,ViaCLYR Flip Top 8oz,13500,9291.675000000001,,,,,,,,,,,,,,,,,,
,,,,,7862,ViaCLYR Flip Top 16oz,17500,11076.470000000001,,,,,,,,,,,,,,,,,,
,,,,,7863,ViaCLYR Flip Top 32oz,7520,5463.174,,,,,,,,,,,,,,,,,,
,,,,Monaderm,F-22004                 ,5 SITE SEMI-OCCLUSIVE STRIP,6560,2378.112,,,,,,,,,,,,,,,,,,
,,,,Grand Total,,,9065728.639999999,,,,,,,,,,,,,,,,,,,
