SONumber,LineNumber,ItemCode,ItemDescription,CustomerCode,CustomerName,ItemSalesClassCode,OrderQuantity,UnitPrice,ExtendedLineAmount,Order date,Requested Ship date,lead_time_days,mfg_start_date,earliest_ship_date,feasibility,days_margin,Profit,gp_pct_cost_sheet,profit_estimated,ship_month
64077,40,6013,MEDLINE CURAD MEDI STRIP 1 X 5 NON250501,MEDL      ,"Medline Industries, Inc.",MEDICAL   ,7.0,123.0,861.0,2025-04-14,2025-07-09,14,2026-02-25,2026-03-11,LATE,-245.0,420.383369,0.4882501382113821,420.38336899999996,2026-03
64080,20,6013,MEDLINE CURAD MEDI STRIP 1 X 5 NON250501,MEDL      ,"Medline Industries, Inc.",MEDICAL   ,19.0,123.0,2337.0,2025-04-14,2025-07-09,14,2026-02-25,2026-03-11,LATE,-245.0,1141.040573,0.4882501382113821,1141.040573,2026-03
64548,1,7235,HARMAC PRTD DRAPE ASSEMBLY P3113231 REV.A  (ROW),HARM IRE  ,Harmac Medical Products,Drape&Mask,60000.0,0.5211,31266.0,2025-09-09,2026-01-03,0,2026-02-25,2026-02-25,LATE,-53.0,19164.960000000003,0.6129648819804261,19164.960000000003,2026-02
64559,1,3958,Harmac Filter Disc P3113306 Rev E,HARM IRE  ,Harmac Medical Products,MEDICAL   ,202500.0,0.27,54675.0,2025-09-12,2026-03-06,0,2026-02-25,2026-02-25,ON_TIME,9.0,28557.1575,0.5223074074074074,28557.1575,2026-02
64562,1,7235,HARMAC PRTD DRAPE ASSEMBLY P3113231 REV.A  (ROW),HARM IRE  ,Harmac Medical Products,Drape&Mask,60000.0,0.5211,31266.0,2025-09-15,2026-02-03,0,2026-02-25,2026-02-25,LATE,-22.0,19164.960000000003,0.6129648819804261,19164.960000000003,2026-02
64618,5,7487,"CARDINAL HEALTH TELFA ADHESIVE DRESSING 2""x3"" 6017",COVIDMA   ,Patient Recovery,MEDICAL   ,300.0,269.76,80928.0,2025-09-25,2026-01-21,0,2026-02-25,2026-02-25,LATE,-35.0,41660.9334,0.5147901023131672,41660.9334,2026-02
64787,2,7155,URGO - VASHE 250 ml Instill 00316,URGO      ,URGO Medical,Filling OP,6000.0,4.34,26040.0,2025-11-26,2026-04-13,0,2026-02-25,2026-02-25,ON_TIME,47.0,17492.801999999996,0.6717665898617511,17492.802,2026-02
64787,3,7159,URGO - VASHE 250 ml OTC Flip Top 00405,URGO      ,URGO Medical,Filling OP,5004.0,1.95,9757.8,2025-11-26,2026-04-13,0,2026-02-25,2026-02-25,ON_TIME,47.0,4113.418103999999,0.4215517948717948,4113.4181039999985,2026-02
65008,1,F-22004,5 SITE SEMI-OCCLUSIVE STRIP,MONADERM  ,Monaderm,MEDICAL   ,16000.0,0.41,6560.0,2026-02-19,,14,2026-02-25,2026-03-11,NO_DEADLINE,,2378.112,0.3911368421052631,2565.8576842105263,2026-03
63804,1,6008,"MEDLINE CURAD MEDISTRIP 1/4 X 1.5 IN, STERILE NON250114",MEDL      ,"Medline Industries, Inc.",MEDICAL   ,1.0,71.94,71.94,2025-02-04,2025-05-18,14,2026-02-25,2026-03-11,LATE,-297.0,36.229519,0.5036074367528496,36.229518999999996,2026-03
63833,10,6008,"MEDLINE CURAD MEDISTRIP 1/4 X 1.5 IN, STERILE NON250114",MEDL      ,"Medline Industries, Inc.",MEDICAL   ,20.0,71.94,1438.8,2025-02-18,2025-05-13,14,2026-02-25,2026-03-11,LATE,-302.0,724.5903799999999,0.5036074367528496,724.59038,2026-03
63874,1,6008,"MEDLINE CURAD MEDISTRIP 1/4 X 1.5 IN, STERILE NON250114",MEDL      ,"Medline Industries, Inc.",MEDICAL   ,2.0,71.94,143.88,2025-02-25,2025-06-10,14,2026-02-25,2026-03-11,LATE,-274.0,72.45903799999999,0.5036074367528496,72.45903799999999,2026-03
63886,10,6008,"MEDLINE CURAD MEDISTRIP 1/4 X 1.5 IN, STERILE NON250114",MEDL      ,"Medline Industries, Inc.",MEDICAL   ,7.0,71.94,503.58,2025-03-04,2025-05-28,14,2026-02-25,2026-03-11,LATE,-287.0,253.606633,0.5036074367528496,253.606633,2026-03
63889,20,6008,"MEDLINE CURAD MEDISTRIP 1/4 X 1.5 IN, STERILE NON250114",MEDL      ,"Medline Industries, Inc.",MEDICAL   ,6.0,71.94,431.64,2025-03-04,2025-05-28,14,2026-02-25,2026-03-11,LATE,-287.0,217.377114,0.5036074367528496,217.37711399999998,2026-03
63891,10,6008,"MEDLINE CURAD MEDISTRIP 1/4 X 1.5 IN, STERILE NON250114",MEDL      ,"Medline Industries, Inc.",MEDICAL   ,3.0,71.94,215.82,2025-03-04,2025-05-28,14,2026-02-25,2026-03-11,LATE,-287.0,108.688557,0.5036074367528496,108.68855699999999,2026-03
63900,10,6008,"MEDLINE CURAD MEDISTRIP 1/4 X 1.5 IN, STERILE NON250114",MEDL      ,"Medline Industries, Inc.",MEDICAL   ,30.0,71.94,2158.2,2025-03-04,2025-05-28,14,2026-02-25,2026-03-11,LATE,-287.0,1086.88557,0.5036074367528496,1086.88557,2026-03
63903,10,6008,"MEDLINE CURAD MEDISTRIP 1/4 X 1.5 IN, STERILE NON250114",MEDL      ,"Medline Industries, Inc.",MEDICAL   ,4.0,71.94,287.76,2025-03-04,2025-05-28,14,2026-02-25,2026-03-11,LATE,-287.0,144.918076,0.5036074367528496,144.91807599999999,2026-03
63908,1,6008,"MEDLINE CURAD MEDISTRIP 1/4 X 1.5 IN, STERILE NON250114",MEDL      ,"Medline Industries, Inc.",MEDICAL   ,4.0,71.94,287.76,2025-03-05,2025-06-17,14,2026-02-25,2026-03-11,LATE,-267.0,144.918076,0.5036074367528496,144.91807599999999,2026-03
63910,1,6008,"MEDLINE CURAD MEDISTRIP 1/4 X 1.5 IN, STERILE NON250114",MEDL      ,"Medline Industries, Inc.",MEDICAL   ,4.0,71.94,287.76,2025-03-05,2025-05-14,14,2026-02-25,2026-03-11,LATE,-301.0,144.918076,0.5036074367528496,144.91807599999999,2026-03
63941,20,6008,"MEDLINE CURAD MEDISTRIP 1/4 X 1.5 IN, STERILE NON250114",MEDL      ,"Medline Industries, Inc.",MEDICAL   ,6.0,71.94,431.64,2025-03-18,2025-06-11,14,2026-02-25,2026-03-11,LATE,-273.0,217.377114,0.5036074367528496,217.37711399999998,2026-03
63943,20,6008,"MEDLINE CURAD MEDISTRIP 1/4 X 1.5 IN, STERILE NON250114",MEDL      ,"Medline Industries, Inc.",MEDICAL   ,2.0,71.94,143.88,2025-03-18,2025-06-11,14,2026-02-25,2026-03-11,LATE,-273.0,72.45903799999999,0.5036074367528496,72.45903799999999,2026-03
63950,30,6008,"MEDLINE CURAD MEDISTRIP 1/4 X 1.5 IN, STERILE NON250114",MEDL      ,"Medline Industries, Inc.",MEDICAL   ,3.0,71.94,215.82,2025-03-18,2025-06-11,14,2026-02-25,2026-03-11,LATE,-273.0,108.688557,0.5036074367528496,108.68855699999999,2026-03
63956,10,6008,"MEDLINE CURAD MEDISTRIP 1/4 X 1.5 IN, STERILE NON250114",MEDL      ,"Medline Industries, Inc.",MEDICAL   ,1.0,71.94,71.94,2025-03-18,2025-06-11,14,2026-02-25,2026-03-11,LATE,-273.0,36.229519,0.5036074367528496,36.229518999999996,2026-03
63958,10,6008,"MEDLINE CURAD MEDISTRIP 1/4 X 1.5 IN, STERILE NON250114",MEDL      ,"Medline Industries, Inc.",MEDICAL   ,1.0,71.94,71.94,2025-03-18,2025-06-11,14,2026-02-25,2026-03-11,LATE,-273.0,36.229519,0.5036074367528496,36.229518999999996,2026-03
