Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Sterile,,,,,,,,
Pre-Sterile ,,ItemCode,ItemDescription,Price,Cost,GP,Gp%,
,,2670,**INACTIVE**SPENCO 3x4 MOIST BURN PAD 308-1536,1.79,3.866346,-2.076346,-1.1599698324022347,
,,2688,"ARGENTUM 2X8 WOUND PAD NS, BULK WPD28",0.2,0.186052,0.013948000000000016,0.06974000000000008,
,,2689,"ARGENTUM 2X10 WOUND PAD NS,BULK WPD210",0.25,0.231655,0.018345,0.07338,
,,2690,"ARGENTUM 2X12 WOUND PAD NS,BULK WPD212",0.3,0.223897,0.07610299999999998,0.2536766666666666,
,,2691,"ARGENTUM 4X4 WOUND PAD NS, BULK WPD44",0.2,0.088188,0.11181200000000001,0.55906,
,,2692,MUELLER BULK UNPRT  NO GLARE STRIPS - 4/SHT,0.06,0.019216,0.040784,0.6797333333333334,
,,2711,MEDLINE GENTAC 2x5 LY SILICONE W/ 1/8 IN EXT LINER MSC1585,39.55,47.807132,-8.257132000000006,-0.20877704171934278,
,,2714,"MEDLINE GENTAC .75 X 3.3 LY SILICONE W/ 1/8"" EXT. LNR MSC1583",49.8,35.726683,14.073316999999996,0.39391613825442445,
,,2719,MEDLINE ARGLAES ALGINATE 2 3/8 X 3 1/4 MSC9123,127,93.294218,33.705782,0.2653998582677165,
,,2734,**INACTIVE**SPENCO SKIN MOIST PAD 2X3 HYDROGEL BULK 308-1551,0.43,0.563226,-0.133226,-0.3098279069767442,
,,2737,"**INACTIVE**MPM EXCELGINATE 4 X 4 DRSG (10/BG, 5BG/CS) MP00801",0.84,0,0.84,1,
,,2747,MARK TRAYNOR INVISTAPE 1.063 X 1.938 1525-2,0.1796,0.053809,0.12579100000000001,0.7003953229398664,
,,2751,MEDICAL ACTION 2 PIECE SECURE SITE R1255,0.0398,0.020249,0.019551000000000002,0.49123115577889453,
,,2756,S. EAGLE PUBLIX TAN  NASAL STRIPS 30CT LARGE 91230 PUB ECO,132.15,122.507344,9.642656000000002,0.07296750662126374,
,,2758,S. EAGLE  CLR PUBLIX NASAL STRIPS 30CT SM/MED 92130 PUB,132.15,110.548172,21.601828000000012,0.1634644570563754,
,,2762,S. EAGLE TAN LAURA LYNN NS 30CT LARGE,132.15,125.18793,6.962070000000011,0.05268308740068113,
,,2764,S. EAGLE  CLR LAURA LYNN NASAL STRIPS 30CT SM/MED 92130 LL,132.15,119.38701,12.762990000000002,0.09657956867196368,
,,2789,PSS 4 X 4 FOAM ADHESIVE DRSG 4675,52,37.865421,14.134579000000002,0.27181882692307696,
,,2790,PSS 6 X 6  FOAM ADHESIVE DRSG 4676,92.5,67.641008,24.858992,0.26874585945945945,
,,2810,MPM 6 X 6 HYDCOLLD WOUND DSG MP00607,2.75,2.620609,0.12939100000000003,0.04705127272727274,
,,2823,FIRST CHOICE BRD GAUZE 4 X 4 W/ 2 X 2.5 PAD STERILE,0.28,0,0.28,1,
,,2851,BUSSE  1 X 5 MACTAC LABELS ON ROLL 6760A,0.037,0.029112,0.007888,0.21318918918918917,
,,2860,"SPENCO 1"" SQ 200/JAR  308-2412",7,4.831567,2.1684330000000003,0.3097761428571429,
,,2871,MPM Isolate Hydrophilic Non-Brdr 7x8 Foam Drsg MP00555,4.2,0.735849,3.464151,0.8247978571428571,
,,2890,MEDLINE RADIADRES GEL SHEET 4 x 4 CRR101052,72.11,79.094297,-6.984296999999998,-0.09685615032589097,
,,2891,MEDLINE CARRADRES GEL SHEET 4 x 4 CRR101053,145,123.098984,21.901016,0.17791386482929866,
,,2907,MEDRAD NEONATE PULSE OXIMETER WOVEN,10.83,0.0009,10.8291,0.9999168975069253,
,,2919,TATUDERM 4X6 THIN FILM,1.43,2.105147,-0.6751470000000002,-0.47213076923076935,
,,2940,S. EAGLE  CLR KROGER NASAL STRIPS SM/MED 92140 KRG,176.21,146.461806,29.748194000000012,0.16882239373474836,
,,2941,S. EAGLE CLR KROGER  NASAL STRIP LARGE 92240 KRG,176.21,152.521156,23.688844000000017,0.13443529879121513,
,,2944,MEDLINE CURAD SCAR THERAPY SILICONE PAD,142.3,136.880166,5.419834000000009,0.03808737877723126,
,,2953,FiltRX MICROFILTERS 50/BAG,0.24,0.05906,0.18094,0.7539166666666667,
,,2962,"MPM Isolate Hydrophilic Foam Drsg 3"" x 3"" MP00552C",0.6,0.496745,0.10325499999999999,0.17209166666666664,
